# Iteration 0
Image 0:
0.098086 0.080150 -0.076619
0.068291 -0.025631 0.107497
-0.054083 0.098963 -0.020213
-0.068817 -0.114741 -0.064695
0.163277 0.185931 0.060009
-0.047250 -0.306862 -0.107181
0.660623 -2.113177 -1.212315
-0.060222 -0.127042 0.086827
0.061765 -0.139411 0.090127
0.164056 -0.038371 -0.026340
0.078944 0.117145 -0.093399
-0.064936 0.100910 -0.071839
-0.142537 -0.035131 -0.014043
0.663170 0.271217 0.050443
-0.420903 2.078176 1.324596
-0.018982 -0.236360 0.518076
0.001397 0.071195 -0.086620
-0.559044 0.245354 -0.367899
0.135592 -0.156723 0.075226
-0.141075 0.078941 0.090926
-0.045814 0.032643 -0.135473
-0.004205 -0.138058 0.051159
-0.222713 0.233431 0.127828
-0.103025 0.029388 0.170487
0.081487 0.275121 -0.038912
0.080931 0.010666 -0.078327
-0.063478 -0.057358 -0.105390
-0.132215 0.052519 0.027145
0.071800 0.137431 -0.129961
0.162887 0.081416 0.205678
0.173048 -0.047218 -0.063918
-0.031538 -0.073876 -0.002830
-0.144062 0.022731 0.097989
0.128040 -0.001325 0.133658

Image 17:
-0.220164 0.070291 -0.410280
-1.541891 -0.431337 -0.183767
-0.356961 -0.366013 0.285013
1.887519 -0.035320 0.006745
-0.439089 0.942203 0.258554
0.113785 -0.420138 -0.223939
-0.232795 -0.298464 0.129672
0.208868 -0.318142 0.198414
0.186726 -0.028652 -0.039722
0.235213 0.216747 -0.182834
-0.182991 0.308460 -0.311826
-0.088380 0.059813 0.096327
-0.014993 -0.135646 0.015667
0.098803 0.080795 -0.077198
0.073358 -0.024725 0.108895
-0.044746 0.102456 -0.024712
-0.064551 -0.107762 -0.080540
0.169977 0.194333 0.066953
-0.047503 -0.321002 -0.134386
0.693609 -2.284641 -1.350323
-0.045876 -0.135280 0.093404
0.053959 -0.136484 0.096170
0.166736 -0.042109 -0.021722
0.061578 0.121174 -0.096417
-0.062327 0.104473 -0.080916
-0.159761 -0.017657 -0.002592
0.740360 0.250075 0.027585
-0.490094 2.104349 1.352695
-0.049852 -0.304572 0.551717
0.014940 0.097345 -0.093389
-0.593355 0.233515 -0.435258
0.148061 -0.148862 0.090213
-0.152112 0.074513 0.085047
